Age,ArenaSize,Paternity,Treatment,TotDist,MeanVel,LatencyZ2360,CumDur%Z2,MeanMeander,FreqZAlter,FreqTransZ1>Z2,MeanTurnAngle,MeanAngVel,Mean%Activ,Mean%Mobility
14,58,39,5,415.781,1.15539,348.697,0.0370096,175.79,1,1,1.21458,36.4377,0.00773641,4.37677
14,58,318,5,245.953,0.683778,360,0,-234.823,0,0,1.11206,33.362,0.00673103,4.47171
14,58,318,5,1225.97,3.40866,114.166,0.94427,-64.3085,1,1,1.01194,30.3585,0.0227536,9.29067
14,58,318,5,731.602,2.03413,101.466,8.32253,289.713,1,1,0.626166,18.7852,0.013297,9.19579
14,58,318,5,1113.7,3.09621,41.5329,10.6822,107.257,1,1,0.101747,3.05243,0.0251491,12.3268
14,58,318,5,1493.9,4.15092,37.233,0.665988,15.3025,1,1,-0.47975,-14.3926,0.030663,14.0498
14,58,318,5,1995.77,5.5459,52.1661,5.11516,95.1841,1,1,-0.147857,-4.43576,0.0392846,15.5329
14,58,318,5,1815.71,5.05071,192.631,0.833256,-83.2137,1,1,-1.17245,-35.1738,0.0225991,14.1629
14,58,39,5,1418.48,3.70202,0.833325,0.634286,2.99024,1,1,0.344249,10.3276,0.0268363,7.32201
14,58,39,5,3370.33,9.36905,3.66663,1.24954,16.3998,1,1,-0.560853,-16.8258,0.098611,16.7921
14,58,39,5,2694.24,7.48683,238.898,0.545791,-76.734,1,1,0.477087,14.3127,0.0632954,13.8012
14,58,39,5,1824.42,5.02645,144.765,1.49528,12.5563,1,1,-0.10765,-3.22955,0.0400304,11.8747
14,58,33,0,2201.18,6.12182,126.365,0.231246,-112.695,2,1,-0.414039,-12.4213,0.0267778,19.8651
14,58,33,0,1003.11,2.79032,112.366,3.40583,138.933,1,1,-0.838184,-25.1458,0.0129864,14.0594
21,58,318,25,107.967,0.300188,360,0,1310.14,0,0,-1.10708,-33.2126,0.000159205,2.76352
21,58,37,25,1040.98,2.90105,0,26.7031,-107.37,1,0,-0.368109,-11.0434,0.0443027,9.53862
21,58,37,25,592.129,1.64619,360,0,-349.645,0,0,0.301997,9.06001,0.01964,6.17688
21,58,37,25,1834.19,5.09645,7.36659,9.68637,-3.21832,1,1,-0.839017,-25.1707,0.0932887,13.4156
21,58,37,25,1108.21,3.08067,187.431,1.24028,-110.335,1,1,-0.875752,-26.2728,0.0350127,9.281
21,58,313,25,2507.92,6.97361,52.1328,1.20337,-65.053,1,1,0.431152,12.9347,0.0749843,13.6991
21,58,313,25,848.43,2.35896,57.4994,23.4031,-9.32896,1,1,-0.447432,-13.4231,0.0281713,7.21001
21,58,313,25,126.624,0.352062,162.732,52.3236,-786.726,1,1,-2.12549,-63.7655,0.00264127,2.60372
21,58,313,25,2676.4,7.44003,119.432,3.50796,14.3374,1,1,0.349048,10.4716,0.0626422,14.2339
14,58,37,25,2381.52,6.60317,136.432,0.166174,-98.6782,1,1,-0.979846,-29.3957,0.0409392,15.399
14,58,37,25,2720.5,7.5816,51.9661,2.22037,195.96,1,1,0.708089,21.2429,0.0468467,21.1762
14,58,318,25,689.027,1.92306,121.599,9.10268,33.1235,1,1,0.420087,12.6027,0.0195396,8.8674
14,58,318,25,1699.37,4.75886,58.4661,2.58262,71.8292,7,4,0.493953,14.8187,0.0263854,16.0686
14,58,318,25,1286.71,3.61982,176.465,2.4889,386.891,3,2,-0.161977,-4.85935,0.0183009,14.363
14,58,318,25,1391.1,4.02211,109.866,3.60944,-57.5523,12,6,-0.715402,-21.4623,0.0170391,18.2258
14,58,318,25,933.106,2.59439,101.499,2.08275,-23.1595,1,1,0.622437,18.6733,0.020789,10.1733
14,58,318,25,3202.51,8.90007,59.3327,2.62744,145.99,1,1,0.583734,17.5122,0.0459738,24.3465
14,58,318,25,677.391,1.88201,81.6325,10.5273,-111.641,1,1,-0.255026,-7.65085,0.0128518,7.13107
14,58,318,25,638.652,1.78396,278.264,0.194372,64.3462,2,1,-0.713189,-21.3959,0.0136659,7.48166
14,58,318,25,424.091,1.17815,41.1663,0.157247,31.1689,1,1,-0.658138,-19.7444,0.00494998,4.98528
14,58,318,25,239.505,0.673153,360,0,-493.927,0,0,-0.207823,-6.23476,0.00585572,4.54609
14,58,36,25,1293.88,3.5958,6.63327,17.0815,-142.727,1,1,-0.12789,-3.83673,0.0168524,19.0124
14,58,36,25,1837.34,5.10804,187.465,0.527631,-61.5841,1,1,-1.94172,-58.2523,0.0240927,16.9987
14,58,36,25,1158.92,3.24176,146.732,2.09182,600.398,3,2,1.43968,43.1909,0.0176508,13.8683
14,58,36,25,1263.61,3.51072,252.964,0.157247,-288.499,1,1,-1.16798,-35.0399,0.016265,15.3826
14,58,36,25,1090.07,3.03053,318.797,2.54535,-57.0826,1,1,-0.6024,-18.0722,0.0174645,13.3568
14,58,36,25,1299.21,3.63622,42.8329,4.13774,-57.7983,6,3,-0.391614,-11.7485,0.0210501,19.7055
14,58,36,25,1302.06,3.62022,268.931,1.80472,3.81623,1,1,0.456783,13.7036,0.0168918,19.0195
14,58,36,25,717.131,1.98947,92.1657,12.2178,-29.0421,3,2,-0.712175,-21.3655,0.00998587,9.40442
21,58,39,5,324.702,1.06507,0,61.0611,491.635,9,4,-0.156169,-4.68511,0.0301549,3.77382
21,58,39,5,1883.18,5.23597,64.8327,7.60044,-458.243,1,1,0.813496,24.4051,0.0441305,8.85837
21,58,39,5,781.917,2.17382,95.0657,0.740466,-1065.47,1,1,0.755401,22.6623,0.0161658,5.32745
21,58,39,5,1653.46,4.59724,70.0993,3.2488,259.995,1,1,0.218767,6.56306,0.0621662,10.4553
21,58,39,5,1556.6,4.34567,101.532,7.09922,-83.5353,7,4,-0.417599,-12.5281,0.0658384,9.6765
21,58,39,5,426.491,1.18515,336.163,0.508741,-4031.45,1,1,-2.02059,-60.6183,0.0130844,3.71288
21,58,39,5,1830.17,5.08903,84.5325,3.50796,-298.637,1,1,0.0334091,1.00228,0.0646583,9.64192
21,58,39,5,788.061,2.18949,162.232,1.53562,-422.307,1,1,-0.264354,-7.93071,0.0377899,6.27756
21,58,318,5,2813.9,7.82008,39.4996,3.08077,81.3499,1,1,0.5221,15.6632,0.0697135,16.5898
21,58,318,5,431.99,1.20221,85.9325,21.4735,49.4655,2,1,0.246063,7.38196,0.016119,7.63965
21,58,318,5,954.682,2.66203,55.4661,5.81869,-29.7066,3,2,-0.206916,-6.20753,0.0351938,8.75617
21,58,318,5,1537.74,4.27233,38.1663,6.33673,92.1393,1,1,0.313741,9.41233,0.0399828,10.0893
21,58,318,5,1549.54,4.47634,17.7332,2.80374,-293.137,2,1,-0.034885,-1.04656,0.0445625,9.49184
21,58,39,5,1414.8,4.17474,44.2662,2.6289,-450.109,3,2,-1.23097,-36.9294,0.0441375,9.51337
21,58,33,0,791.816,2.20135,33.533,1.86985,8.4846,1,1,0.0418865,1.25661,0.0183685,8.69839
21,58,33,0,1515.62,4.38087,68.8993,4.88391,188.762,8,4,-0.315842,-9.47536,0.0361785,20.4579
21,58,37,25,575.466,1.60105,252.997,7.51573,-2.19308,1,1,0.789884,23.6968,0.0203496,6.65334
105,138,27,0,1606050,4465.01,15.4665,2.39748,0.0125216,6,3,-0.532487,-15.9748,0.686272,17.9953
105,138,27,0,401723,1116.84,107.832,0.0833102,5.1883,4,2,1.55312,46.594,0.21232,4.04661
21,58,37,25,2009.34,5.60022,17.0332,4.54461,34.092,4,2,0.0827668,2.48303,0.0589479,15.0041
21,58,318,25,1270.4,3.53975,159.965,3.13541,-125.796,1,1,-0.796534,-23.8963,0.0607026,9.71229
21,58,318,25,2211.27,6.17048,30.233,5.41166,334.286,3,2,0.557495,16.725,0.0627376,13.7174
21,58,318,25,787.677,2.18964,222.764,2.1381,302.921,1,1,0.138098,4.14297,0.0381558,6.19378
21,58,318,25,699.551,1.9452,170.698,3.78634,-391.438,1,1,0.734592,22.038,0.033078,5.52729
