Video File,Subject,TreatmentFactor,Mean_Burst_Activity_(%),Mean_Burst_Count,Mean_Burst_Count/Minute,Mean_Burst_Duration_(s),Mean_Inactivity_(%),Mean_Inactivity_Duration_(s),Mean_Total_Burst_Duration_(s),Clutch,Parentage,indv,ID
BMAA_5_3-1_Ashley_1.avi,S01,5,0,0,0,0,100,60.377,0,3-1A,31,y,Ashley
BMAA_5_3-1_Brian_1.avi,S01,5,0,0,0,0,100,60.5515,0,3-1A,31,y,Brian
BMAA_5_3-1_Clarissa_1.avi,S01,5,0.877192982,1,0.991178511,0.531,99.12280702,60.003,0.531,3-1A,31,y,Clarissa
BMAA_5_3-13_1.avi,S01,5,0,0,0,0,100,60.23644,0,3-13A,313,n,1
BMAA_5_3-13_1.avi,S02,5,93.52941176,4,3.984299205,14.084697,6.470588235,3.897652,56.338788,3-13A,313,n,2
BMAA_5_3-13_1.avi,S03,5,94.70588235,2,1.992149602,28.523726,5.294117647,3.188988,57.047452,3-13A,313,n,3
BMAA_5_3-13_1.avi,S04,5,0,0,0,0,100,60.23644,0,3-13A,313,n,4
BMAA_5_3-13_Adam_1.avi,S01,5,4.899135447,1,0.990892051,2.9665,95.10086455,57.585,2.9665,3-13A,313,y,Adam
BMAA_5_3-13_Brady_2.avi,S01,5,17.00288184,1,0.990892051,10.2955,82.99711816,50.256,10.2955,3-13A,313,y,Brady
BMAA_5_3-13_Cydney_3.avi,S01,5,2.046783626,1,0.991178511,1.239,97.95321637,59.295,1.239,3-13A,313,y,Cydney
BMAA_5_3-13_David_1_1.avi,S01,5,0,0,0,0,100,2.832,0,3-13A,313,y,David
BMAA_5_3-13_Eeyore_1.avi,S01,5,8.933717579,5,4.954460253,1.0819,91.06628242,55.142,5.4095,3-13A,313,y,Eeyore
BMAA_5_3-13_Frank_1.avi,S01,5,28.15249267,3,2.982255579,5.664,71.84750733,43.365,16.992,3-13A,313,y,Frank
BMAA_5_3-1_Delilah_3.avi,S01,5,2.601156069,1,0.9937559,1.5705,97.39884393,58.8065,1.5705,3-1A,31,y,Delilah
BMAA_5_3-1_Eliza_3.avi,S01,5,7.624633431,3,2.979461282,1.535438667,92.37536657,55.80729,4.606316,3-1A,31,y,Eliza
BMAA_5_3-1_Fern_1.avi,S01,5,4.970760234,4,3.964714045,0.75225,95.02923977,57.525,3.009,3-1A,31,y,Fern
BMAA_5_3-1_1.avi,S01,5,0,0,0,0,100,60.767938,0,3-1A,31,n,5
BMAA_5_3-1_1.avi,S02,5,0,0,0,0,100,60.767938,0,3-1A,31,n,6
BMAA_5_3-1_1.avi,S03,5,0,0,0,0,100,60.767938,0,3-1A,31,n,7
BMAA_5_3-1_1.avi,S04,5,0,0,0,0,100,60.767938,0,3-1A,31,n,8
BMAA_5_3-2B_1.avi,S01,5,0,0,0,0,100,60.377,0,3-2B,32,n,9
BMAA_5_3-2B_1.avi,S02,5,4.624277457,4,3.975023602,0.698,95.37572254,57.585,2.792,3-2B,32,n,10
BMAA_5_3-2B_1.avi,S03,5,4.335260116,2,1.987511801,1.30875,95.66473988,57.7595,2.6175,3-2B,32,n,11
BMAA_5_3-2B_1.avi,S04,5,4.624277457,3,2.981267701,0.930666667,95.37572254,57.585,2.792,3-2B,32,n,12
BMAA_5_3-2B_1.avi,S05,5,6.069364162,3,2.981267701,1.2215,93.93063584,56.7125,3.6645,3-2B,32,n,13
